Heart disease_number,COPD_number,CKD_number,anycondition_number,60-69,High school diploma only 2014-18,Population Aged 60+,70-79,diabetes_number,Obesity_number,county_pop2018_18 and older,TOT_POP,POP_ESTIMATE_2018,50-59,Total Population,Some college or associate's degree 2014-18,Civilian_labor_force_2018,Employed_2018,80+,40-49,White-alone pop,19-Oct,0-9,20-29,30-39,Unemployed_2018,Family Medicine/General Practice Primary Care (2019),POVALL_2018,Total nurse practitioners (2019),Total Specialist Physicians (2019),Bachelor's degree or higher 2014-18,Total physician assistants (2019),Internal Medicine Primary Care (2019),Less than a high school diploma 2014-18,Total Hospitals (2019),ICU Beds_x,GQ_ESTIMATES_2018,Two or more races pop,Black-alone pop,Asian-alone pop,Native American/American Indian-alone pop,N_POP_CHG_2018,Hawaiian/Pacific Islander-alone pop,% Asian-alone,Percent of adults with a bachelor's degree or higher 2014-18,Obesity_Upper 95% CI,Heart disease_prevalence,Heart disease_Upper 95% CI,Percent of adults with a high school diploma only 2014-18,Urban_rural_code
18376,17955,6824,84095,41627,53680,71832,29686,24950,64412,186702,229286,229286,31640,215551,46446,105426,101475,12393,22537,190055,23079,23349,22393,22582,3951,97.43524775,27750,123.7498767,375.5168672,43262,60.45252598,116.8748836,20067,1.659481105,38,2843,4915,28226,3087,2552,5072,451,1.346353462,26.5,35.9,9.8,11.0,32.8,3
23638,28049,14899,184189,61610,83572,113026,35539,46523,142590,574961,702455,702455,73342,672391,77255,404610,382140,21780,82249,320374,65473,83239,136020,143203,22470,332.0,107806,359.0,4170.0,280349,288.0,1623.0,45805,10.0,314,39629,19604,326181,31025,4296,6764,975,4.416653024,57.6,26.0,4.1,4.5,17.2,1
13436,15311,6046,80981,27545,34631,47766,16277,22543,62882,221415,269956,269956,27729,259865,44794,137339,132846,8638,26618,188584,34607,28015,66269,34258,4493,104.9439679,50922,156.6554884,368.862838,67724,77.22507206,146.9595783,12112,2.750343121,210,14487,7711,55575,16900,971,3136,215,6.260279453,42.5,29.5,6.1,6.7,21.7,3
1712,2127,667,10622,3022,7986,5367,1778,2533,7163,21640,28355,28355,3757,27537,5295,11869,11467,858,3741,23533,3762,3623,3902,3912,402,11.02285636,3944,16.45440877,38.74374258,2492,8.111384516,15.43599269,2886,0.288884037,0,2724,515,3972,201,125,125,9,0.708869688,13.4,34.4,7.9,8.6,42.8,2
12102,14119,4663,67489,22696,40148,40210,13901,17749,46132,145526,185287,185287,26173,180117,46118,89251,85703,7588,22001,151384,20840,22566,24804,24718,3548,72.02934177,24276,107.5220609,253.1726973,29167,53.00420041,100.8671761,12371,1.887725503,77,3841,6206,21641,4223,1535,1241,298,2.279166914,22.8,33.0,8.3,9.1,31.4,4
2131,2553,816,11970,3281,7745,6394,2252,3102,8004,22296,27732,27732,3660,26775,5458,11304,10933,1199,3491,21282,2911,3030,3970,3938,371,10.7806684,4618,16.09288182,37.89248702,2056,7.933165769,15.0968418,4229,0.282536841,0,3930,569,5561,167,138,599,15,0.602192413,10.6,37.0,9.6,10.4,39.7,6
44373,45945,17376,221402,88720,122135,170919,62609,63982,158579,487936,596849,596849,90823,568183,145319,276558,266812,37742,64619,496843,63779,57305,66233,65019,9746,232.0218937,64854,346.3515224,815.5233298,125088,170.73785,324.914717,34234,6.08076702,159,6717,16675,64016,15759,2758,8584,798,2.640366324,29.3,33.7,9.1,10.1,28.6,3
111793,114238,51255,629245,221376,368264,406732,138805,201079,458464,1538471,1951260,1951260,280243,1890416,396859,1036212,1001293,85677,261885,1233595,228475,225855,243854,265090,34919,758.5420101,244310,1132.316334,2666.165232,429460,558.1879792,1062.233648,150125,19.87966379,587,16295,44334,587182,75851,7910,16789,2388,3.887283089,31.9,30.6,7.3,7.8,27.4,2
1116,1349,422,6008,1743,4312,3483,1182,1665,4140,11663,14587,14587,1962,14458,2704,5082,4873,646,1972,11984,1688,1529,1876,1989,209,5.670619139,2697,8.464837266,19.93140445,1019,4.172836041,7.940921367,2259,0.148614052,0,1887,345,1927,117,194,150,20,0.802084047,9.9,36.6,9.6,10.3,41.9,6
20574,19323,7161,76271,37221,49114,81236,34882,24470,45295,162931,184998,184998,25316,173236,48348,70953,68108,19581,15467,167333,13228,11329,14505,13469,2845,71.91699455,20243,107.3543542,252.7778131,33662,52.92152751,100.7098493,14096,1.884781137,51,3171,3085,11100,2625,742,3461,113,1.418934259,23.2,29.1,12.6,14.0,33.8,4
